domain,tag,title,url,status,validation_reason
software,python,Python 3 Documentation Home,https://docs.python.org/3/,valid,Accepted: official or standards-based documentation; strong domain match and strong tag relevance.
software,python,Python Tutorial,https://docs.python.org/3/tutorial/,valid,Accepted: official or standards-based documentation; strong domain match and strong tag relevance.
software,python,Python Library Reference,https://docs.python.org/3/library/,valid,Accepted: official or standards-based documentation; strong domain match and strong tag relevance.
software,python,Python Language Reference,https://docs.python.org/3/reference/,valid,Accepted: official or standards-based documentation; strong domain match and strong tag relevance.
software,python,Python Stdtypes,https://docs.python.org/3/library/stdtypes.html,valid,Accepted: official or standards-based documentation; strong domain match and strong tag relevance.
software,python,Python Built-in Functions,https://docs.python.org/3/library/functions.html,valid,Accepted: official or standards-based documentation; strong domain match and strong tag relevance.
software,python,Python Exceptions,https://docs.python.org/3/library/exceptions.html,valid,Accepted: official or standards-based documentation; strong domain match and strong tag relevance.
software,python,Python Logging,https://docs.python.org/3/library/logging.html,valid,Accepted: official or standards-based documentation; strong domain match and strong tag relevance.
software,python,Python asyncio,https://docs.python.org/3/library/asyncio.html,valid,Accepted: official or standards-based documentation; strong domain match and strong tag relevance.
software,python,Python dataclasses,https://docs.python.org/3/library/dataclasses.html,valid,Accepted: official or standards-based documentation; strong domain match and strong tag relevance.
software,python,Python typing,https://docs.python.org/3/library/typing.html,valid,Accepted: official or standards-based documentation; strong domain match and strong tag relevance.
software,python,Python json,https://docs.python.org/3/library/json.html,valid,Accepted: official or standards-based documentation; strong domain match and strong tag relevance.
software,javascript,MDN JavaScript Guide,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Guide,valid,Accepted: official or standards-based documentation; strong domain match and strong tag relevance.
software,javascript,MDN JavaScript Reference,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference,valid,Accepted: official or standards-based documentation; strong domain match and strong tag relevance.
software,javascript,MDN Fetch API,https://developer.mozilla.org/en-US/docs/Web/API/Fetch_API,valid,Accepted: official or standards-based documentation; strong domain match and strong tag relevance.
software,javascript,MDN Promise,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Promise,valid,Accepted: official or standards-based documentation; strong domain match and strong tag relevance.
software,javascript,MDN async function,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Statements/async_function,valid,Accepted: official or standards-based documentation; strong domain match and strong tag relevance.
software,javascript,MDN import,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Statements/import,valid,Accepted: official or standards-based documentation; strong domain match and strong tag relevance.
software,javascript,MDN export,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Statements/export,valid,Accepted: official or standards-based documentation; strong domain match and strong tag relevance.
