domain,tag,title,url,status,validation_reason
ai,pytorch,PyTorch Documentation,https://docs.pytorch.org/,valid,Accepted: official or standards-based documentation; strong domain match and strong tag relevance.
ai,pytorch,PyTorch Tutorials,https://docs.pytorch.org/tutorials/,valid,Accepted: official or standards-based documentation; strong domain match and strong tag relevance.
ai,pytorch,PyTorch nn module,https://pytorch.org/docs/stable/nn.html,valid,Accepted: official or standards-based documentation; strong domain match and strong tag relevance.
ai,pytorch,PyTorch Data Loading,https://pytorch.org/docs/stable/data.html,valid,Accepted: official or standards-based documentation; strong domain match and strong tag relevance.
ai,pytorch,PyTorch CUDA semantics,https://pytorch.org/docs/stable/notes/cuda.html,valid,Accepted: official or standards-based documentation; strong domain match and strong tag relevance.
ai,pytorch,PyTorch Distributed Overview,https://pytorch.org/tutorials/beginner/dist_overview.html,valid,Accepted: official or standards-based documentation; strong domain match and strong tag relevance.
ai,pytorch,PyTorch Inference Mode,https://pytorch.org/docs/stable/generated/torch.inference_mode.html,valid,Accepted: official or standards-based documentation; strong domain match and strong tag relevance.
ai,pytorch,PyTorch Serialization,https://pytorch.org/docs/stable/notes/serialization.html,valid,Accepted: official or standards-based documentation; strong domain match and strong tag relevance.
ai,tensorflow,TensorFlow Documentation,https://www.tensorflow.org/learn,valid,Accepted: official or standards-based documentation; strong domain match and strong tag relevance.
ai,tensorflow,TensorFlow API Docs,https://www.tensorflow.org/api_docs,valid,Accepted: official or standards-based documentation; strong domain match and strong tag relevance.
ai,tensorflow,Keras Documentation,https://keras.io/,valid,"Accepted: trusted technical source; domain ""ai"" matches the topic; link is relevant to tag ""tensorflow""."
ai,tensorflow,TensorFlow Guide,https://www.tensorflow.org/guide,valid,Accepted: official or standards-based documentation; strong domain match and strong tag relevance.
ai,tensorflow,TensorFlow tf.data,https://www.tensorflow.org/guide/data,valid,Accepted: official or standards-based documentation; strong domain match and strong tag relevance.
ai,tensorflow,TensorFlow Serving,https://www.tensorflow.org/tfx/guide/serving,valid,Accepted: official or standards-based documentation; strong domain match and strong tag relevance.
ai,tensorflow,TensorFlow SavedModel,https://www.tensorflow.org/guide/saved_model,valid,Accepted: official or standards-based documentation; strong domain match and strong tag relevance.
ai,scikit-learn,scikit-learn Documentation,https://scikit-learn.org/stable/,valid,"Accepted: trusted technical source; domain ""ai"" matches the topic; link is relevant to tag ""scikit-learn""."
ai,scikit-learn,scikit-learn User Guide,https://scikit-learn.org/stable/user_guide.html,valid,"Accepted: trusted technical source; domain ""ai"" matches the topic; link is relevant to tag ""scikit-learn""."
ai,scikit-learn,scikit-learn Model Selection,https://scikit-learn.org/stable/model_selection.html,valid,"Accepted: trusted technical source; domain ""ai"" matches the topic; link is relevant to tag ""scikit-learn""."
ai,scikit-learn,scikit-learn Pipeline,https://scikit-learn.org/stable/modules/compose.html,valid,"Accepted: trusted technical source; domain ""ai"" matches the topic; link is relevant to tag ""scikit-learn""."
ai,scikit-learn,scikit-learn Metrics,https://scikit-learn.org/stable/modules/model_evaluation.html,valid,"Accepted: trusted technical source; domain ""ai"" matches the topic; link is relevant to tag ""scikit-learn""."
ai,scikit-learn,scikit-learn Preprocessing,https://scikit-learn.org/stable/modules/preprocessing.html,valid,"Accepted: trusted technical source; domain ""ai"" matches the topic; link is relevant to tag ""scikit-learn""."
ai,numpy,NumPy Documentation,https://numpy.org/doc/stable/,valid,"Accepted: trusted technical source; domain ""ai"" matches the topic; link is relevant to tag ""numpy""."
ai,numpy,NumPy User Guide,https://numpy.org/doc/stable/user/,valid,"Accepted: trusted technical source; domain ""ai"" matches the topic; link is relevant to tag ""numpy""."
ai,numpy,NumPy Reference,https://numpy.org/doc/stable/reference/,valid,"Accepted: trusted technical source; domain ""ai"" matches the topic; link is relevant to tag ""numpy""."
ai,numpy,NumPy ndarray,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.html,valid,"Accepted: trusted technical source; domain ""ai"" matches the topic; link is relevant to tag ""numpy""."
ai,pandas,pandas Documentation,https://pandas.pydata.org/docs/,valid,"Accepted: trusted technical source; domain ""ai"" matches the topic; link is relevant to tag ""pandas""."
ai,pandas,pandas User Guide,https://pandas.pydata.org/docs/user_guide/index.html,valid,"Accepted: trusted technical source; domain ""ai"" matches the topic; link is relevant to tag ""pandas""."
ai,pandas,pandas API Reference,https://pandas.pydata.org/docs/reference/index.html,valid,"Accepted: trusted technical source; domain ""ai"" matches the topic; link is relevant to tag ""pandas""."
ai,pandas,pandas Missing Data,https://pandas.pydata.org/docs/user_guide/missing_data.html,valid,"Accepted: trusted technical source; domain ""ai"" matches the topic; link is relevant to tag ""pandas""."
ai,pandas,pandas IO Tools,https://pandas.pydata.org/docs/user_guide/io.html,valid,"Accepted: trusted technical source; domain ""ai"" matches the topic; link is relevant to tag ""pandas""."
ai,opencv/computer-vision,OpenCV Documentation,https://docs.opencv.org/4.x/,valid,"Accepted: trusted technical source; domain ""ai"" matches the topic; link is relevant to tag ""opencv/computer-vision""."
ai,opencv/computer-vision,OpenCV Python Tutorials,https://docs.opencv.org/4.x/d6/d00/tutorial_py_root.html,valid,"Accepted: trusted technical source; domain ""ai"" matches the topic; link is relevant to tag ""opencv/computer-vision""."
ai,opencv/computer-vision,OpenCV Image Processing,https://docs.opencv.org/4.x/d7/dbd/tutorial_py_thresholding.html,valid,"Accepted: trusted technical source; domain ""ai"" matches the topic; link is relevant to tag ""opencv/computer-vision""."
ai,opencv/computer-vision,OpenCV Feature Detection,https://docs.opencv.org/4.x/db/d27/tutorial_py_table_of_contents_feature2d.html,valid,"Accepted: trusted technical source; domain ""ai"" matches the topic; link is relevant to tag ""opencv/computer-vision""."
ai,huggingface-transformers/nlp/llm,Hugging Face Transformers Docs,https://huggingface.co/docs/transformers/index,valid,"Accepted: trusted technical source; domain ""ai"" matches the topic; link is relevant to tag ""huggingface-transformers/nlp/llm""."
ai,huggingface-transformers/nlp/llm,Transformers Main Classes,https://huggingface.co/docs/transformers/main_classes/model,valid,"Accepted: trusted technical source; domain ""ai"" matches the topic; link is relevant to tag ""huggingface-transformers/nlp/llm""."
ai,huggingface-transformers/nlp/llm,Transformers Pipeline,https://huggingface.co/docs/transformers/main_classes/pipelines,valid,"Accepted: trusted technical source; domain ""ai"" matches the topic; link is relevant to tag ""huggingface-transformers/nlp/llm""."
ai,huggingface-transformers/nlp/llm,Transformers Generation,https://huggingface.co/docs/transformers/main_classes/text_generation,valid,"Accepted: trusted technical source; domain ""ai"" matches the topic; link is relevant to tag ""huggingface-transformers/nlp/llm""."
ai,huggingface-transformers/nlp/llm,Transformers Quantization,https://huggingface.co/docs/transformers/quantization/overview,valid,"Accepted: trusted technical source; domain ""ai"" matches the topic; link is relevant to tag ""huggingface-transformers/nlp/llm""."
ai,huggingface-transformers/nlp/llm,Hugging Face Datasets Docs,https://huggingface.co/docs/datasets/index,valid,"Accepted: trusted technical source; domain ""ai"" matches the topic; link is relevant to tag ""huggingface-transformers/nlp/llm""."
ai,huggingface-transformers/nlp/llm,Hugging Face Tokenizers Docs,https://huggingface.co/docs/tokenizers/index,valid,"Accepted: trusted technical source; domain ""ai"" matches the topic; link is relevant to tag ""huggingface-transformers/nlp/llm""."
ai,sentence-transformers/embeddings,Sentence Transformers Documentation,https://www.sbert.net/,valid,"Accepted: trusted technical source; domain ""ai"" matches the topic; link is relevant to tag ""sentence-transformers/embeddings""."
ai,sentence-transformers/embeddings,Sentence Transformers Quickstart,https://www.sbert.net/docs/quickstart.html,valid,"Accepted: trusted technical source; domain ""ai"" matches the topic; link is relevant to tag ""sentence-transformers/embeddings""."
ai,sentence-transformers/embeddings,Sentence Transformers Semantic Search,https://www.sbert.net/examples/sentence_transformer/applications/semantic-search/README.html,valid,"Accepted: trusted technical source; domain ""ai"" matches the topic; link is relevant to tag ""sentence-transformers/embeddings""."
ai,sentence-transformers/embeddings,Sentence Transformers Training Overview,https://www.sbert.net/docs/sentence_transformer/training_overview.html,valid,"Accepted: trusted technical source; domain ""ai"" matches the topic; link is relevant to tag ""sentence-transformers/embeddings""."
ai,sentence-transformers/embeddings,Sentence Transformers Inference,https://www.sbert.net/docs/package_reference/sentence_transformer/SentenceTransformer.html,valid,"Accepted: trusted technical source; domain ""ai"" matches the topic; link is relevant to tag ""sentence-transformers/embeddings""."
ai,fine-tuning,Hugging Face PEFT Docs,https://huggingface.co/docs/peft/index,valid,"Accepted: trusted technical source; domain ""ai"" matches the topic; link is relevant to tag ""fine-tuning""."
ai,fine-tuning,PEFT LoRA Guide,https://huggingface.co/docs/peft/conceptual_guides/lora,valid,"Accepted: trusted technical source; domain ""ai"" matches the topic; link is relevant to tag ""fine-tuning""."
ai,fine-tuning,TRL Documentation,https://huggingface.co/docs/trl/index,valid,"Accepted: trusted technical source; domain ""ai"" matches the topic; link is relevant to tag ""fine-tuning""."
ai,fine-tuning,Transformers Trainer,https://huggingface.co/docs/transformers/main_classes/trainer,valid,"Accepted: trusted technical source; domain ""ai"" matches the topic; link is relevant to tag ""fine-tuning""."
ai,rag/llm/nlp,LangChain Retrieval QA,https://python.langchain.com/docs/tutorials/retrievers/,valid,"Accepted: trusted technical source; domain ""ai"" matches the topic; link is relevant to tag ""rag/llm/nlp""."
